strategy,symbol,timeframe,total_return,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,profit_factor,final_value
mrbb_rsi_div,BTCUSDT,1h,7.430796570536713,3.6488285368130535,0.3510601026966635,-15.029607511680855,0.24277603616576296,68.88888888888889,45.0,1.201441348979056,10743.079657053659
mrbb_vwap,BTCUSDT,1h,-64.29057817980794,-40.242639097604005,-1.108849983542175,-75.73642685087897,-0.531351171040055,60.36585365853659,328.0,0.7529904208614845,3570.9421820192124
mrbb_zscore,BTCUSDT,1h,-74.36408860306636,-49.36808180906668,-1.3431315986482164,-78.2119303532572,-0.6312090954166137,63.52459016393443,732.0,0.7936402614083176,2563.591139693368
opening_range_breakout,BTCUSDT,4h,-14.075882708436401,-7.304737288487284,0.13480467699998772,-47.44614715525592,-0.15395849244796034,43.77622377622378,715.0,0.983746892891382,8592.411729156369
pin_bar_reversal,BTCUSDT,4h,-77.88565320180444,-52.974106283670096,-1.2976018537011087,-85.54697857017794,-0.6192399447540173,62.721893491124256,169.0,0.6734052938286196,2211.4346798195597
regime_switcher,BTCUSDT,4h,-21.50203728020775,-11.400923977847121,-0.20796573907756177,-34.606467699156454,-0.3294448909654257,50.0,128.0,0.8873390095241698,7849.796271979244
risk_parity,BTCUSDT,4h,98.70662369572946,40.963336969486306,0.9750679416245385,-36.90110093006454,1.1100844131214562,38.82352941176471,85.0,1.439864905113736,19870.662369572947
rsi2_connors,BTCUSDT,1h,-60.793182596667414,-37.38465251766737,-1.6107156252075634,-64.61570863469441,-0.5785691019659306,60.37195994277539,699.0,0.7574520310843245,3920.6817403332766
spot_perp_basis,BTCUSDT,1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
stochastic_reversal,BTCUSDT,1h,30.921611523725716,14.420982133403193,0.5332627054877042,-39.21710270888574,0.36772176263127443,66.66666666666666,231.0,1.1215603164414354,13092.161152372582
supertrend_follow,BTCUSDT,4h,-46.31907749035099,-26.732734110211943,-0.1893619399387071,-70.13686636393143,-0.3811509623412475,34.862385321100916,109.0,0.8139401976109215,5368.09225096491
